Last_First,First_Last,info,location,latitude,longitude
"TOWNES, SAMUEL ALLEN",SAMUEL ALLEN TOWNES,"a newspaper called the Whig.  Moved to Marion, Alabama, in 1833, partly due to ill health.  Opened a law partnership with Col. Hen",Marion,32.6323,-87.3192
"PICKETT, ALBERT JAMES",ALBERT JAMES PICKETT,"City, N.C., August 13, 1810. (Moved to Autauga Alabama at the age of eight). Parents: William Raiford and Frances Dickson Pickett.",Autauga,32.434,-86.6547
"REYNOLDS, BERNARD ADAMS",BERNARD ADAMS REYNOLDS,"o the bar in South Carolina.  Moved to Mobile as a young man wrote for the Mobile Tribune, including a regular column, Mobile in S",Carolina,33.1454,-87.7222
"SMITH, NELSON FOOTE",NELSON FOOTE SMITH,"Burdine, 1849. Children: one. Practiced law in Carrollton. Died 1865.

",Carrollton,33.2615,-88.095
"TANNER, JOHN THOMAS",JOHN THOMAS TANNER,"ool in Athens, Ala. Began his career as a clerk in his father's store in Athens at the age of thirteen in cotton business in New O",Athens,34.8029,-86.9717
"MOHR, CHARLES THEODORE",CHARLES THEODORE MOHR," Indiana, 1850 pharmaceutical business, Louisville, Ky., 1852 Mobile, Ala., 1857 survey of forests, Gulf States, 1880 botanist, Ge",Louisville,31.7799,-85.5558
"BALL, TIMOTHY HORTON",TIMOTHY HORTON BALL,"iana, A.B., 1850, A.M., 1853. Taught at Franklin Springs, Ala. in 1851 and began preaching there a short time later. Most of his l",Franklin,32.4557,-85.8028
"VINCENT, JOHN HEYL",JOHN HEYL VINCENT,"23, 1832, in Tuscaloosa, Ala. moved to Pennsylvania with his family at the age of six. Parents:John Himrod and Mary (Raser) Vincen",Sylvania,34.559,-85.8122
"JORDAN, WILLIAM CHRISTOPHER",WILLIAM CHRISTOPHER JORDAN,". Family moved to Alabama and lived in Society Hill, Eufaula, and Midway. Served in Company B, 15th Alabama, Confederate States Ar",Eufaula,31.8918,-85.1455
"CUMMING, KATE",KATE CUMMING, for the duration of the war. Moved to Birmingham with her father in 1874 gave music lessons and taught school there. During her y,Birmingham,33.5186,-86.8104
"McGREGOR, ALBERT ALEXANDER",ALBERT ALEXANDER McGREGOR,"61-1865 cotton farmer 1865-70 taught at LaGrange College, 1870-1876 Tuscumbia Academy president, Hartselle College, after 1858. Di",Hartselle,34.4434,-86.9403
"McEACHIN, ARCHIBALD BRUCE",ARCHIBALD BRUCE McEACHIN,"rmy, 1861-1864. After the War moved to Tuscaloosa and practiced law until his death in 1909. Founder of the Southern Law Journal, ",Tuscaloosa,33.2098,-87.5692
"BLANDIN, ISABELLA MARGARET ELIZABETH JOHN",ISABELLA MARGARET ELIZABETH JOHN BLANDIN,"Wirt Blandin. Children:Three. Taught in Selma and Montgomery, and in Houston, TX Organized Houston's first mission board and was i",Montgomery,32.3792,-86.3077
"ROBERTSON, SAMUEL LOWRIE",SAMUEL LOWRIE ROBERTSON,"Law School in North Carolina. Practiced law in Charlotte superintendent of the county schools in Jefferson County, Ala. Served in ",Carolina,33.1454,-87.7222
"BYNUM, JASPER E.",JASPER E. BYNUM,":
Farmer, businessman. Born:May 21, 1839, in a log cabin one-half mile northest of Oneonta. Parents:Tapley and",Oneonta,33.9487,-86.4722
"SCREWS, WILLIAM WALLACE",WILLIAM WALLACE SCREWS,"ices admitted to bar in 1859. Practiced law until 1861 served in Confederate Army, 1861-65 purchased Montgomery Advertiser in 1865",Montgomery,32.3792,-86.3077
"HOUGHTON, WILLIAM ROBERT",WILLIAM ROBERT HOUGHTON,"t Hayneville, 1866-1887, then moved to Birmingham. Died July 30, 1906.
",Birmingham,33.5186,-86.8104
"WOOSTER, L.C.",L.C. WOOSTER,":
Lived in New Orleans East Pascagoula, Miss. Became ""fallen woman"" worked in Montgomery, Mobile, Birm",Mobile,30.6954,-88.0399
"MOORE, IDORA McCLELLAN PLOWMAN",IDORA McCLELLAN PLOWMAN MOORE,"mmerfield, Alabama. Began her career by writing humorous dialect pieces under the pseudonym Betsy Hamilton for The Alabama Reporte",Hamilton,34.1423,-87.9889
"McMORRIES, EDWARD YOUNG",EDWARD YOUNG McMORRIES,"September 1862. After the war taught at Arcadia (now LaPine), Plantersville and Clanton, Ala. founded and operated Clanton Univers",Clanton,32.8387,-86.6294
"ALDRICH, TRUMAN HEMINWAY",TRUMAN HEMINWAY ALDRICH,"n New York for two years then moved to Selma, Alabama. Executive of Tennessee Coal, Iron, and Railroad Company founded the Cahaba ",Selma,32.4074,-87.0211
"DOZIER, ORION THEOPHILUS",ORION THEOPHILUS DOZIER," of medicine in Attalla, 1874 practiced successively in Cherokee County Portageville, Mo. Rome, Ga. opened a practice in Birmingha",Attalla,34.0209,-86.0991
"BENNERS, ALFRED HATCH",ALFRED HATCH BENNERS,"Attorney at Greensboro, 1870. Lived in Dallas, TX, 1875-1885 Greensboro, 1885-1890. Represented Hale County in the Alabama Legisla",Greensboro,32.704,-87.5958
"MELL, PATRICK HUES",PATRICK HUES MELL,"e chemist, Georgia, 1874-1877 taught geology and botany, Alabama Polytechnic Institute, 1878-1902 president, South Carolina A. & M",Carolina,33.1454,-87.7222
"CLARK, KATE UPSON",KATE UPSON CLARK,"estfield Normal School, 1872. Taught in Cleveland, Ohio edited the Springfield Republican and the New York Evening PoSt Contribute",Cleveland,33.9923,-86.5789
"CRUIKSHANK, GEORGE MARCUS",GEORGE MARCUS CRUIKSHANK," and Synodical College, B.A.. Taught at Talladega principal of State Institute for the Deaf, Dumb, and Blind for six years. Editor",Talladega,33.4359,-86.1
"FRY, ANNA MARIA GAYLE",ANNA MARIA GAYLE FRY,"9, 1890. Education Tutored at home.  Lived in Galveston, Texas, and then in Selma with her husband.  Died January 26, 1930.  ",Selma,32.4074,-87.0211
"BRAGG, SHIRLEY",SHIRLEY BRAGG,"Atlanta Medical College, 1875 practiced medicine in Lowndes County, 1876-1896 and in Montgomery after 1896. Health officer in both",Montgomery,32.3792,-86.3077
"LAY, WILLIAM PATRICK",WILLIAM PATRICK LAY,"ingsworth estate, 1879 lumber business, Gadsden, 1879-1890 instrumental in building the first blast furnace in Gadsden built and o",Gadsden,34.0143,-86.0066
"BEAUCHAMP, GEORGE ALLAN",GEORGE ALLAN BEAUCHAMP,":
Druggist businessman. Born:March 16, 1855, Eufaula. Parents:Andrew Hamil and Margaret Euphemia (Allan) Beauch",Eufaula,31.8918,-85.1455
"BROWN, ANNIE FINLEY GREENE",ANNIE FINLEY GREENE BROWN,"3. Children:two. Education:At home by her mother Tuscaloosa Female Academy, earning the M.A. degree. Taught in the public schools ",Tuscaloosa,33.2098,-87.5692
"HALL, JAMES HUGH BLAIR",JAMES HUGH BLAIR HALL,"t Montevallo. Children:Three. Taught school in Shelby, St Clair, Dallas, and Jefferson Counties (Ala.). Served as pastor for Cumbe",Eva,34.3248,-86.7558
"HARRISON, BELLE RICHARDSON",BELLE RICHARDSON HARRISON,"l, Tuscaloosa Female Academy. Lived in Tuscaloosa, where her husband owned a clothing store. Published poems, essays, and stories ",Tuscaloosa,33.2098,-87.5692
"WILKINS, BENJAMIN HARRISON, SR.","BENJAMIN HARRISON WILKINS, SR.","rgaret Adams (Minge) Wilkins. Lived in Virginia, 1860-1870 moved to Selma, Ala. Education:private tutors and Richmond schools. Mar",Selma,32.4074,-87.0211
"GRAYSON, CLAUDE COLUMBUS",CLAUDE COLUMBUS GRAYSON,"nt. Born:May 4, 1857, Auburn. Moved to Selma at the age of ten. Parents:Spencer Monroe and Cornelia (Dillard) Grayson. Married:Ade",Auburn,32.6099,-85.4808
"WYATT, RUFUS R.",RUFUS R. WYATT,"ustice of the peace, 1881-83. Practiced medicine in Memphis, Pickens County, Alabama. Died October 11, 1943.
",Memphis,34.7462,-87.4647
"BEVERLY, JOHN WILLIAM",JOHN WILLIAM BEVERLY," to serve the school after it moved to Montgomery and became the Alabama Normal School for Colored Students in 1888. In 1915, Beve",Montgomery,32.3792,-86.3077
"CLARK, GEORGE HUNTINGTON",GEORGE HUNTINGTON CLARK,t Railroad of Alabama in 1890 moved to Birmingham and became engineer for Birmingham Realty company served as general manager of B,Birmingham,33.5186,-86.8104
"CORY, MARIELOU ARMSTRONG",MARIELOU ARMSTRONG CORY,"le College in Louisiana, M.A. Taught music in Birmingham and music and art in Decatur. Organist for churches and for evangelist Sa",Birmingham,33.5186,-86.8104
"HAMILTON, PETER JOSEPH",PETER JOSEPH HAMILTON,". Admitted to the bar in 1882 Practiced law in Mobile, serving as city attorney served two terms (1913-1921) as judge of the US Di",Mobile,30.6954,-88.0399
"McKINNEY, KATE SLAUGHTER",KATE SLAUGHTER McKINNEY," Isaac McKinney, May 7, 1878. Lived in Montgomery, where her husband was superintendent of the L & N Railroad. Education:Daughters",Montgomery,32.3792,-86.3077
"STAKELY, CHARLES AVERETT",CHARLES AVERETT STAKELY,"our. During his childhood, he moved to Montgomery, Ala. with his family. Education:Mercer University, M.A. admitted to bar at age ",Montgomery,32.3792,-86.3077
