Last_First,First_Last,info,location,latitude,longitude
"MULLER, ALBERT A.",ALBERT A. MULLER,NOT FOUND,,,
"PICKETT, ALBERT JAMES",ALBERT JAMES PICKETT,"City, N.C., August 13, 1810. (Moved to Alabama at the age of eight). Parents: William Raiford and Frances Dickson Pickett. Married",,,
"ANTHONY, JAMES DANELLY",JAMES DANELLY ANTHONY,NOT FOUND,,,
"CLAY-CLOPTON, VIRGINIA CAROLINE TUNSTALL",VIRGINIA CAROLINE TUNSTALL CLAY-CLOPTON,NOT FOUND,,,
"CURRY, JABEZ LAMAR MONROE",JABEZ LAMAR MONROE CURRY,NOT FOUND,,,
"MANLY, BASIL, JR.","BASIL MANLY, JR.",NOT FOUND,,,
"BROUN, WILLIAM LE ROY",WILLIAM LE ROY BROUN,"atics and German at UVA, 1852.Taught at Oakland College in Mississippi, 1852-1854 University of Georgia, 1854-1856. stablished and",,,
"WARE, MARY",MARY WARE,NOT FOUND,,,
"TAYLOR, THOMAS JONES",THOMAS JONES TAYLOR,"surveyor, 1858-62 and 1868-71 taught school, 1865-68 tax assessor , clerk of county court, 1880-1886 probate judge, 1886-1894. Die",,,
"HERBERT, HILARY ABNER",HILARY ABNER HERBERT,"othy Teaugue (Young) Herbert. Moved to Alabama in 1846. Married: Ella B. Smith, April 23, 1867. Children: three. Education:Univers",,,
"MASSEY, JOHN",JOHN MASSEY,"lion, Hilliard's Legion, CSA. Taught at University of Alabama, 1864-1865 Choctaw County, 1865-1866 president, Centenary Institute,",,,
"DuBOSE, JOHN WITHERSPOON",JOHN WITHERSPOON DuBOSE,"lina College, 1854 studied at home with private tutors. Successful cotton planter in the Canebrake area of Marengo County, 1856-61",,,
"WHEELER, JOSEPH",JOSEPH WHEELER,"irm Bouton, Smith, and Denman moved to Lawrence County, Alabama, in 1870, where he read law and opened a law partnership, Jones an",,,
"HALBERT, HENRY SALE",HENRY SALE HALBERT,"lry, Confederate States Army. Taught in various schools and colleges, 1866-1899 said to have taught members of Choctaw tribe for t",,,
"LITTLE, GEORGE",GEORGE LITTLE,NOT FOUND,,,
"SANDERS, WILLIAM HENRY",WILLIAM HENRY SANDERS,NOT FOUND,,,
"De LEON, THOMAS COOPER",THOMAS COOPER De LEON,NOT FOUND,,,
"SMITH, EUGENE ALLEN",EUGENE ALLEN SMITH,NOT FOUND,,,
"CRUMPTON, WASHINGTON BRYAN",WASHINGTON BRYAN CRUMPTON,NOT FOUND,,,
