Last_First,First_Last,info,location,latitude,longitude
"MULLER, ALBERT A.",ALBERT A. MULLER,", June 2, 1886. Children:Two. Education:private tutor Judson College. Husband was the fourth president of Southern Baptist Theolog",,,
"TOWNES, SAMUEL ALLEN",SAMUEL ALLEN TOWNES,"23, 1834. .  Children eight.  EducationUniversity of Virginia read law in Abbeville, South Carolina.  Admitted to the bar in 1829 ",,,
"PICKETT, ALBERT JAMES",ALBERT JAMES PICKETT, Smith Harris. Children:nine. Education:attended Stafford County Academy in Virginia and Harvard College read law with his brother,,,
"REYNOLDS, BERNARD ADAMS",BERNARD ADAMS REYNOLDS,th Carolina.  Never married.  Educationgraduated from Captain Alden Patridges Military School in New England from Yale or Trinity ,,,
"SMITH, NELSON FOOTE",NELSON FOOTE SMITH,NOT FOUND,,,
"TANNER, JOHN THOMAS",JOHN THOMAS TANNER,"ov. 26, 1846. Children:Seven. Education:attended school in Athens, Ala. Began his career as a clerk in his father's store in Athen",,,
"MOHR, CHARLES THEODORE",CHARLES THEODORE MOHR," Roemer, 1852. Children:Five. Education:Polytechnic School, Stuttgart, 1845. Employed as a chemist, Brunn, Austria, 1847-1848 Cinc",,,
"ANTHONY, JAMES DANELLY",JAMES DANELLY ANTHONY,NOT FOUND,,,
"CLAY-CLOPTON, VIRGINIA CAROLINE TUNSTALL",VIRGINIA CAROLINE TUNSTALL CLAY-CLOPTON,"d Clopton, November 29, 1887. Education:Attended a private school in Tuscaloosa and graduated from the Nashville Female Academy in",,,
"CURRY, JABEZ LAMAR MONROE",JABEZ LAMAR MONROE CURRY,":
Advocate for education college professor legislator attorney. Born:June 5, 1825, near Double Branches (Lincoln Co",,,
"BALL, TIMOTHY HORTON",TIMOTHY HORTON BALL,"April 19, 1855. Children:Two. Education:Franklin College in Indiana, A.B., 1850, A.M., 1853. Taught at Franklin Springs, Ala. in 1",,,
"BROUN, WILLIAM LE ROY",WILLIAM LE ROY BROUN,"mber 1, 1859. Children:Seven. Education:University of Virginia, A. M., 1850 postgraduate course in mathematics and German at UVA, ",,,
"WARE, MARY",MARY WARE,NOT FOUND,,,
"TAYLOR, THOMAS JONES",THOMAS JONES TAYLOR,NOT FOUND,,,
"VINCENT, JOHN HEYL",JOHN HEYL VINCENT,"ember 10, 1858. Children:One. Education:Lewisburg, Academy Wesleyan Institute, Newark, N.J., and special tutors. Began preaching a",,,
"JORDAN, WILLIAM CHRISTOPHER",WILLIAM CHRISTOPHER JORDAN," 14, 1856. Children:Thirteen. Education:Tutored by sisters and neighbors Male Institute, Glenville, Ala., 1858-1862. Family moved ",,,
"CUMMING, KATE",KATE CUMMING,NOT FOUND,,,
"McGREGOR, ALBERT ALEXANDER",ALBERT ALEXANDER McGREGOR,"C. Cooper, February 13, 1902. Education:LaGrange College, LaGrange, Ala., graduated 1854. Employed as chair of mathematics, LaGran",,,
"DuBOSE, JOHN WITHERSPOON",JOHN WITHERSPOON DuBOSE," South Carolina College, 1854 studied at home with private tutors. Successful cotton planter in the Canebrake area of Marengo Coun",,,
"WHEELER, JOSEPH",JOSEPH WHEELER,"bruary 8, 1866. Children:Six. Education: US Military Academy graduated 1859 further instruction at the army cavalry school at Carl",,,
"HALBERT, HENRY SALE",HENRY SALE HALBERT,"ickens and Jane Owen Halbert. Education:Union University, Murfreesboro, Tenn., A.M., 1856. Participated with State Troops of Texas",,,
"McEACHIN, ARCHIBALD BRUCE",ARCHIBALD BRUCE McEACHIN,NOT FOUND,,,
"BLANDIN, ISABELLA MARGARET ELIZABETH JOHN",ISABELLA MARGARET ELIZABETH JOHN BLANDIN,NOT FOUND,,,
"ROBERTSON, SAMUEL LOWRIE",SAMUEL LOWRIE ROBERTSON,"ber 18, 1838, Jackson County. Education:University of Virginia Richmond Hill Law School in North Carolina. Practiced law in Charlo",,,
"SANDERS, WILLIAM HENRY",WILLIAM HENRY SANDERS,"at Tuscaloosa, Ala. Education:Studied medicine in US and Europe. Physician in Confederate military forces began practice in Alabam",,,
"BYNUM, JASPER E.",JASPER E. BYNUM,NOT FOUND,,,
"De LEON, THOMAS COOPER",THOMAS COOPER De LEON,"ecca (Lopez y Nunez) De Leon, Education:Attended Rugby Academy and Georgetown College, Washington, D.C. Employed as a clerk for th",,,
"SCREWS, WILLIAM WALLACE",WILLIAM WALLACE SCREWS,67. Children:Three. Education:studied law in Montgomery law offices admitted to bar in 1859. Practiced law until 1861 served in Co,,,
"CRUMPTON, WASHINGTON BRYAN",WASHINGTON BRYAN CRUMPTON,", 1872 Florence Harris, 1910. Education:Georgetown College, Kentucky, for two years. Served in Co. H., 37th Mississippi Infantry, ",,,
"HOUGHTON, WILLIAM ROBERT",WILLIAM ROBERT HOUGHTON," Confederate Army, 1861-1865. Studied law, 1865-1866 admitted to the bar in Dale County, 1866 practiced law at Hayneville, 1866-18",,,
"WOOSTER, L.C.",L.C. WOOSTER,NOT FOUND,,,
"PARK, ROBERT EMORY",ROBERT EMORY PARK,"dree Stewart, April 27, 1892. Education:Attended Greenville Academy and Brownwood Institute in LaGrange Emory University and Alaba",,,
"BREWER, THADDEUS CONSTANTINE WILLIS",THADDEUS CONSTANTINE WILLIS BREWER,NOT FOUND,,,
"DAVIS, MARY EVELINA MOORE",MARY EVELINA MOORE DAVIS," moved in 1855. Continued her education as an adult by studying music, French, and other subjects with tutors. Employed as ""second",,,
"DUFFEE, MARY GORDON",MARY GORDON DUFFEE,nd Martha (Gillespie) Duffee. Education:Attended Tuscaloosa Female Seminary and private schools in New York City. Travelled freque,,,
"HOUGHTON, MITCHELL BENNETT",MITCHELL BENNETT HOUGHTON,"Eliza Ann (Bennett) Houghton. Education:Dover Academy, Columbus, Ga. Served as private, Glenville Guards of Barbour County, which ",,,
"McMORRIES, EDWARD YOUNG",EDWARD YOUNG McMORRIES,"arried:Sarah (Sallie) Warner. Education:Perote Institute, Pike County. Joined the ""Perote Guards,"" made up of students from Perote",,,
"WYETH, JOHN ALLEN",JOHN ALLEN WYETH,"Chalifoux, November 15, 1918. Education:LaGrange Military Academy, Ala., 1861 University of Louisville, M.D., 1869 further studies",,,
"BRIDGMAN, FREDERICK ARTHUR",FREDERICK ARTHUR BRIDGMAN," Jaegar, 1904. Children: one. Education:Brooklyn Art School and the National Academy of Design study under J. L. Gerome at the Eco",,,
"WEEDEN, MARIA HOWARD",MARIA HOWARD WEEDEN,nd Jane E. (Urquhart) Weeden. Attended Huntsville Female Seminary and the Alabama Female Methodist College at Tuskegee (later Hunt,,,
"ALDRICH, TRUMAN HEMINWAY",TRUMAN HEMINWAY ALDRICH,"f Newark, N.J. Children:five. Education:Attended military academy in West Chester, Pa. M.A. in engineering, Rensselaer Polytechnic",,,
"COUNCILL, WILLIAM HOOPER",WILLIAM HOOPER COUNCILL,"ly tutored and self-educated (studied Latin, mathematics, chemistry, and law). Ph. D. Morris Brown College. First black attorney a",,,
"DOZIER, ORION THEOPHILUS",ORION THEOPHILUS DOZIER,"pril 30, 1874. Children:Five. Education: Eufaula Male Academy Atlanta Medical College, M.D., 1874 further study in the medical dep",,,
"HAMILL, HOWARD MELANCTHON",HOWARD MELANCTHON HAMILL,"July 7, 1885. Children:Three. Education:East Alabama Male College at Auburn, A.B., 1868 Illinois College, A.M. 1900. Served in Civ",,,
"MELL, ANNIE REBECCA WHITE",ANNIE REBECCA WHITE MELL,NOT FOUND,,,
"RILEY, BENJAMIN FRANKLIN",BENJAMIN FRANKLIN RILEY,"une 21, 1876. Children:Eight. Education:Erskine College, A.B., 1871 Southern Baptist Theological Seminary and Crozier Theological ",,,
"COMINGS, LYDIA JANE NEWCOMB",LYDIA JANE NEWCOMB COMINGS,"n Comings, 1902 ( died 1907). Education:Graduated from Mrs. L. H. Stone's Seminary in Kalamazoo, Mich. Taught at the Ravenswood (C",,,
"MELL, PATRICK HUES",PATRICK HUES MELL,"nnie R. White, June 15, 1875. Education:A.B., 1871 M.E., 1872 Ph.D., University of Georgia. Employed as a state chemist, Georgia, ",,,
"MILLER, LAWRENCE DEAN",LAWRENCE DEAN MILLER,":Lizzie Vernon. Children:Two. Education:Wofford College. Employed as principal, Reidsville Male High School principal, Alexandria ",,,
"BECKWITH, CHARLES MINNIEGRODE",CHARLES MINNIEGRODE BECKWITH," Belle Cameron, May 11, 1897. Education:University of Georgia, 1873. Berkeley Divinity School, Middleton, CT, graduated 1881. Mast",,,
"CLARK, KATE UPSON",KATE UPSON CLARK,"uary 1, 1874. Children:three. Education:Wheaton Female Seminary, Norton, Mass., 1869 Westfield Normal School, 1872. Taught in Clev",,,
"MOODY, ROBERT NEILL",ROBERT NEILL MOODY,NOT FOUND,,,
